Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,79.12,79.29,77.38,78.43,55.47,140129500
2013-01-03,78.27,78.52,77.29,77.44,54.77,88241300
2013-01-04,76.71,76.95,75.12,75.29,53.25,148583400
2013-01-07,74.57,75.61,73.6,74.84,52.93,121039100
2013-01-08,75.6,75.98,74.46,75.04,53.07,114676800
2013-01-09,74.64,75.0,73.71,73.87,52.25,101901100
2013-01-10,75.51,75.53,73.65,74.79,52.89,150286500
2013-01-11,74.43,75.05,74.15,74.33,52.57,87626700
2013-01-14,71.81,72.5,71.22,71.68,50.69,183551900
2013-01-15,71.19,71.28,69.05,69.42,49.09,219193100
2013-01-16,70.66,72.78,70.36,72.3,51.13,172701200
2013-01-17,72.9,72.96,71.72,71.81,50.79,113419600
2013-01-18,71.22,71.75,70.91,71.43,50.52,118230700
2013-01-22,72.08,72.55,70.95,72.11,51.0,115386600
2013-01-23,72.69,73.57,72.11,73.43,51.93,215377400
2013-01-24,65.71,66.53,64.32,64.36,45.52,365213100
2013-01-25,64.53,65.18,62.14,62.84,44.44,302006600
2013-01-28,62.55,64.74,62.27,64.26,45.45,196379400
2013-01-29,65.5,65.74,64.59,65.47,46.3,142789500
2013-01-30,65.29,66.09,64.93,65.26,46.16,104288800
2013-01-31,65.28,65.61,65.0,65.07,46.02,79833600
2013-02-01,65.59,65.64,64.05,64.8,45.83,134871100
2013-02-04,64.84,65.13,63.14,63.19,44.69,119279300
2013-02-05,63.44,65.68,63.17,65.41,46.26,143336900
2013-02-06,65.21,66.64,64.65,65.34,46.21,148426600
2013-02-07,66.18,67.14,64.87,66.89,49.31,176145200
2013-02-08,67.71,68.4,66.89,67.85,50.02,158289600
2013-02-11,68.07,69.28,67.61,68.56,50.54,129372600
2013-02-12,68.5,68.91,66.82,66.84,49.27,152263300
2013-02-13,66.74,67.66,66.17,66.72,49.18,118801900
2013-02-14,66.36,67.38,66.29,66.66,49.13,88818800
2013-02-15,66.98,67.17,65.7,65.74,48.46,97936300
2013-02-19,65.87,66.1,64.84,65.71,48.44,108945900
2013-02-20,65.38,65.38,64.11,64.12,47.27,119075600
2013-02-21,63.71,64.17,63.26,63.72,46.97,111795600
2013-02-22,64.18,64.51,63.8,64.4,47.47,82663700
2013-02-25,64.84,65.02,63.22,63.26,46.63,93144800
2013-02-26,63.4,64.51,62.52,64.14,47.28,125374900
2013-02-27,64.06,64.63,62.95,63.51,46.82,146837600
2013-02-28,63.44,63.98,63.06,63.06,46.48,80628800
2013-03-01,62.57,62.6,61.43,61.5,45.33,138112100
2013-03-04,61.11,61.17,59.86,60.01,44.23,145688900
2013-03-05,60.21,62.17,60.11,61.59,45.4,159608400
2013-03-06,62.07,62.18,60.63,60.81,44.82,115062500
2013-03-07,60.64,61.72,60.15,61.51,45.34,117118400
2013-03-08,61.4,62.2,61.23,61.67,45.46,97870500
2013-03-11,61.39,62.72,60.73,62.55,46.11,118559000
2013-03-12,62.23,62.7,61.08,61.2,45.12,116477900
2013-03-13,61.21,62.07,60.77,61.19,45.11,101387300
2013-03-14,61.83,62.09,61.49,61.79,45.54,75968900
2013-03-15,62.56,63.46,62.46,63.38,46.72,160990200
2013-03-18,63.06,65.35,63.03,65.1,47.99,151549300
2013-03-19,65.64,65.85,64.07,64.93,47.86,131693800
2013-03-20,65.35,65.38,64.23,64.58,47.61,77165200
2013-03-21,64.32,65.43,64.3,64.68,47.68,95813900
2013-03-22,64.94,66.01,64.73,65.99,48.64,98776300
2013-03-25,66.38,67.14,65.97,66.23,48.82,125283900
2013-03-26,66.49,66.55,65.79,65.88,48.56,73573500
2013-03-27,65.21,65.26,64.39,64.58,47.61,82809300
2013-03-28,64.26,64.55,63.09,63.24,46.61,110709900
2013-04-01,63.13,63.39,61.11,61.27,45.17,97433000
2013-04-02,61.09,62.59,60.91,61.4,45.26,132379800
2013-04-03,61.62,62.47,61.47,61.71,45.49,90804000
2013-04-04,61.97,62.14,60.75,61.1,45.04,89611900
2013-04-05,60.64,60.71,59.95,60.46,44.57,95923800
2013-04-08,60.69,61.07,60.36,60.89,44.88,75207300
2013-04-09,60.91,61.21,60.39,61.0,44.96,76653500
2013-04-10,61.16,62.44,60.86,62.24,45.88,93982000
2013-04-11,61.96,62.57,61.6,62.05,45.74,82091100
2013-04-12,62.02,62.02,61.3,61.4,45.26,59653300
2013-04-15,61.0,61.13,59.94,59.98,44.21,79380000
2013-04-16,60.22,60.94,60.08,60.89,44.89,76442800
2013-04-17,60.04,60.09,56.87,57.54,42.42,236264000
2013-04-18,57.86,57.97,55.68,56.01,41.29,166574800
2013-04-19,55.42,57.09,55.01,55.79,41.13,152318600
2013-04-22,56.09,57.46,55.9,56.95,41.98,107480100
2013-04-23,57.71,58.34,56.97,58.02,42.77,166059600
2013-04-24,56.22,59.32,56.07,57.92,42.7,242412800
2013-04-25,58.75,59.13,58.14,58.34,43.0,96209400
2013-04-26,58.54,59.82,58.32,59.6,43.93,191024400
2013-04-29,60.06,61.95,60.0,61.45,45.29,160081600
2013-04-30,62.16,63.61,61.72,63.25,46.63,172884600
2013-05-01,63.49,63.56,62.06,62.76,46.26,126727300
2013-05-02,63.11,64.08,62.95,63.65,46.92,105457100
2013-05-03,64.47,64.75,64.16,64.28,47.39,90325200
2013-05-06,65.1,66.03,64.9,65.82,48.52,124160400
2013-05-07,66.42,66.54,64.81,65.52,48.3,120938300
2013-05-08,65.58,66.48,65.12,66.26,48.85,118149500
2013-05-09,65.69,66.14,65.08,65.25,50.42,99621900
2013-05-10,65.42,65.67,64.35,64.71,50.0,83713000
2013-05-13,64.5,65.41,64.5,64.96,50.2,79237200
2013-05-14,64.84,65.03,63.16,63.41,49.0,111779500
2013-05-15,62.74,63.0,60.34,61.26,47.34,185403400
2013-05-16,60.46,62.55,59.84,62.08,47.97,150801000
2013-05-17,62.72,62.87,61.57,61.89,47.83,106976100
2013-05-20,61.7,63.69,61.44,63.28,48.89,112894600
2013-05-21,62.59,63.64,62.03,62.81,48.53,114005500
2013-05-22,63.44,64.05,62.6,63.05,48.72,110759600
2013-05-23,62.28,63.74,62.26,63.16,48.81,88255300
2013-05-24,62.98,63.67,62.91,63.59,49.14,69041700
2013-05-28,64.27,64.44,62.98,63.06,48.73,96536300
2013-05-29,62.86,63.93,62.77,63.56,49.12,82644100
2013-05-30,63.66,64.93,63.5,64.51,49.85,88379900
2013-05-31,64.64,65.3,64.21,64.25,49.64,96075700
2013-06-03,64.39,64.62,63.21,64.39,49.75,93088100
2013-06-04,64.75,64.92,63.91,64.19,49.6,73182200
2013-06-05,63.66,64.39,63.39,63.59,49.13,72647400
2013-06-06,63.64,63.86,62.01,62.64,48.4,104233500
2013-06-07,62.36,63.32,61.82,63.12,48.77,101133900
2013-06-10,63.53,64.15,62.4,62.7,48.45,112538300
2013-06-11,62.25,63.25,61.9,62.51,48.31,71528100
2013-06-12,62.79,63.04,61.64,61.74,47.71,66306800
2013-06-13,61.79,62.45,61.25,62.28,48.12,71458100
2013-06-14,62.2,62.33,61.21,61.44,47.47,67966500
2013-06-17,61.63,62.24,61.48,61.71,47.69,64853600
2013-06-18,61.65,62.13,61.46,61.68,47.66,48756400
2013-06-19,61.63,61.67,60.43,60.43,46.69,77735000
2013-06-20,59.9,60.85,59.31,59.55,46.01,89327700
2013-06-21,59.78,60.0,58.3,59.07,45.65,120279600
2013-06-24,58.2,58.38,56.86,57.51,44.44,120186500
2013-06-25,57.96,58.26,56.98,57.52,44.45,78540700
2013-06-26,57.7,57.83,56.52,56.87,43.94,91931000
2013-06-27,57.04,57.34,56.22,56.25,43.47,84311500
2013-06-28,55.91,57.18,55.55,56.65,43.77,144629100
2013-07-01,57.53,58.9,57.32,58.46,45.17,97763400
2013-07-02,58.57,60.23,58.5,59.78,46.2,117466300
2013-07-03,60.12,60.43,59.64,60.11,46.45,60232200
2013-07-05,60.06,60.47,59.34,59.63,46.08,68506200
2013-07-08,60.02,60.14,58.66,59.29,45.82,74534600
2013-07-09,59.09,60.5,58.63,60.34,46.62,88146100
2013-07-10,59.94,60.69,59.75,60.1,46.44,70351400
2013-07-11,60.42,61.18,60.17,61.04,47.17,81573100
2013-07-12,61.09,61.4,60.49,60.93,47.08,69890800
2013-07-15,60.72,61.64,60.69,61.06,47.18,60479300
2013-07-16,60.93,61.53,60.6,61.46,47.49,54134500
2013-07-17,61.39,61.75,61.17,61.47,47.5,49747600
2013-07-18,61.91,62.12,61.52,61.68,47.66,54719700
2013-07-19,61.87,62.0,60.62,60.71,46.91,67180400
2013-07-22,61.35,61.39,60.78,60.9,47.06,51949100
2013-07-23,60.86,60.99,59.82,59.86,46.25,92348900
2013-07-24,62.7,63.51,62.18,62.93,48.63,147984200
2013-07-25,62.96,63.06,62.26,62.64,48.4,57373400
2013-07-26,62.19,63.01,62.05,63.0,48.68,50038100
2013-07-29,62.97,64.28,62.89,63.97,49.43,62014400
2013-07-30,64.28,65.31,64.18,64.76,50.04,77355600
2013-07-31,65.0,65.33,64.2,64.65,49.95,80739400
2013-08-01,65.11,65.26,64.75,65.24,50.41,51562700
